icao,type,name,latitude,longitude,elevation,country
03N,small_airport,Utirik Airport,11.222,169.852005,4,MH
03PN,heliport,M.P. Metals Heliport,41.066861,-76.180806,479,US
04VA,heliport,Russell County Medical Center Heliport,36.898,-82.078,2004,US
05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,US
0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,US
12PA,heliport,Helicopter Applicators Inc Heliport,39.8495,-77.184167,612,US
14NY,heliport,Windy's Heliport,40.7975502014,-73.4179000854,222,US
16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,US
19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0,US
30TX,small_airport,Burg Lake Aero Airport,30.2323611,-98.6549722,1463,US
3LA7,heliport,Variable Bore Rams Heliport,30.076753,-91.948969,30,US
45NR,heliport,NHRMC-Ed North Heliport,34.316552,-77.768284,29,US
4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,US
4K5,small_airport,Ouzinkie Airport,57.925362,-152.496715,55,US
4OR1,heliport,McNary ARNG Field Heliport,44.912,-123.001502752,209,US
5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,US
6N5,heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,10,US
7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,US
84CO,heliport,Rampart Heliport,39.344239,-104.841906,6480,US
9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,US
9Z8,small_airport,Levelock Airport,59.12606,-156.860906,39,US
A79,small_airport,Chignik Lake Airport,56.2550010681,-158.774993896,50,US
AEI,heliport,Algeciras Heliport,36.12882,-5.441079,98,ES
AF15,heliport,Qara Tepa Heliport,37.423302,69.430298,1437,AF
AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,23,SB
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,SB
AGGB,small_airport,Bellona/Anua Airport,-11.3022222222,159.798333333,60,SB
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,SB
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,SB
AGGK,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,54,SB
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,18,SB
AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,SB
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,SB
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,SB
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,SB
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,SB
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70,SB
AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,16,MH
AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,71,MX
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,NR
AR-0004,small_airport,Merlo Airport,-32.35820007324219,-65.01740264892578,796,AR
AR-0031,small_airport,San Andrés de Giles Airport,-34.470347,-59.42461,167,AR
ATP,small_airport,Aitape Airport,-3.14361111111,142.346805556,10,PG
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,CN
AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11,PG
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,PG
AYDU,medium_airport,Daru Airport,-9.08675956726,143.207992554,20,PG
AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,PG
AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,PG
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,PG
AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66,PG
AYIQ,small_airport,Aropa Airport,-6.305417,155.728139,20,PG
AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,27,PG
AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,88,PG
AYKK,small_airport,Kikori Airport,-7.424379825592041,144.2500762939453,50,PG
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,PG
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,PG
AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,167,PG
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,PG
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388,PG
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,PG
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,PG
AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,2740,PG
AYMS,small_airport,Misima Island Airport,-10.6892004013,152.837997437,26,PG
AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239,PG
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146,PG
AYTA,small_airport,Tari Airport,-5.84499979019,142.947998047,5500,PG
AYTB,small_airport,Tabubil Airport,-5.27861,141.225998,1570,PG
AYTI,small_airport,Tapini Airport,-8.35666666667,146.989166667,3100,PG
AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,PG
AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,PG
AYWD,medium_airport,Wapenamanda Airport,-5.6433,143.895004,5889,PG
AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19,PG
AYWT,small_airport,Woitape Airport,-8.54583333333,147.2525,5200,PG
AYYR,small_airport,Yasuru Airport,-6.6015,146.1813,1520,PG
BBG,small_airport,Branson Airport,36.532082,-93.200544,1302,US
BGAA,medium_airport,Aasiaat Airport,68.7218017578,-52.7846984863,74,GL
BGAG,heliport,Aappilattoq (Qaasuitsup) Heliport,72.88703,-55.596287,42,GL
BGAM,heliport,Tasiilaq Heliport,65.612296,-37.618335,24,GL
BGAP,heliport,Alluitsup Paa Heliport,60.46445,-45.56917,54,GL
BGAQ,heliport,Aappilattoq (Kujalleq) Heliport,60.148357,-44.286916,30,GL
BGAS,heliport,Ammassivik Heliport,60.597376,-45.382445,71,GL
